auth_name,code,name,proj4string
EPSG,2034,NAD27(CGQ77) / UTM zone 20N,+proj=utm +zone=20 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2035,NAD27(CGQ77) / UTM zone 21N,+proj=utm +zone=21 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2039,Israel 1993 / Israeli TM Grid,+proj=tmerc +lat_0=31.7343936111111 +lon_0=35.2045169444444 +k=1.0000067 +x_0=219529.584 +y_0=626907.39 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2040,Locodjo 1965 / UTM zone 30N,+proj=utm +zone=30 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2041,Abidjan 1987 / UTM zone 30N,+proj=utm +zone=30 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2042,Locodjo 1965 / UTM zone 29N,+proj=utm +zone=29 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2043,Abidjan 1987 / UTM zone 29N,+proj=utm +zone=29 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2044,Hanoi 1972 / Gauss-Kruger zone 18,+proj=tmerc +lat_0=0 +lon_0=105 +k=1 +x_0=18500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs
EPSG,2045,Hanoi 1972 / Gauss-Kruger zone 19,+proj=tmerc +lat_0=0 +lon_0=111 +k=1 +x_0=19500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs
EPSG,2046,Hartebeesthoek94 / Lo15,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=15 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2047,Hartebeesthoek94 / Lo17,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=17 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2048,Hartebeesthoek94 / Lo19,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=19 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2049,Hartebeesthoek94 / Lo21,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=21 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2050,Hartebeesthoek94 / Lo23,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=23 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2051,Hartebeesthoek94 / Lo25,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=25 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2052,Hartebeesthoek94 / Lo27,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=27 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2053,Hartebeesthoek94 / Lo29,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=29 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2054,Hartebeesthoek94 / Lo31,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=31 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2055,Hartebeesthoek94 / Lo33,+proj=tmerc +axis=wsu +lat_0=0 +lon_0=33 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2056,CH1903+ / LV95,+proj=somerc +lat_0=46.9524055555556 +lon_0=7.43958333333333 +k_0=1 +x_0=2600000 +y_0=1200000 +ellps=bessel +units=m +no_defs +type=crs
EPSG,2057,Rassadiran / Nakhl e Taqi,+proj=omerc +lat_0=27.5188288055556 +lonc=52.6035391666667 +alpha=0.571661194444444 +gamma=0.571661194444444 +k=0.999895934 +x_0=658377.437 +y_0=3044969.194 +ellps=intl +units=m +no_defs +type=crs
EPSG,2058,ED50(ED77) / UTM zone 38N,+proj=utm +zone=38 +ellps=intl +units=m +no_defs +type=crs
EPSG,2059,ED50(ED77) / UTM zone 39N,+proj=utm +zone=39 +ellps=intl +units=m +no_defs +type=crs
EPSG,2060,ED50(ED77) / UTM zone 40N,+proj=utm +zone=40 +ellps=intl +units=m +no_defs +type=crs
EPSG,2061,ED50(ED77) / UTM zone 41N,+proj=utm +zone=41 +ellps=intl +units=m +no_defs +type=crs
EPSG,2062,Madrid 1870 (Madrid) / Spain LCC,+proj=lcc +lat_1=40 +lat_0=40 +lon_0=0 +k_0=0.9988085293 +x_0=600000 +y_0=600000 +a=6378298.3 +rf=294.73 +pm=-3.687375 +units=m +no_defs +type=crs
EPSG,2065,S-JTSK (Ferro) / Krovak,+proj=krovak +axis=swu +lat_0=49.5 +lon_0=42.5 +alpha=30.2881397527778 +k=0.9999 +x_0=0 +y_0=0 +ellps=bessel +pm=ferro +units=m +no_defs +type=crs
EPSG,2066,Mount Dillon / Tobago Grid,+proj=cass +lat_0=11.2521786111111 +lon_0=-60.6860088888889 +x_0=37718.66159325 +y_0=36209.91512952 +a=6378293.64520876 +b=6356617.98767984 +to_meter=0.201166195164 +no_defs +type=crs
EPSG,2067,Naparima 1955 / UTM zone 20N,+proj=utm +zone=20 +ellps=intl +units=m +no_defs +type=crs
EPSG,2068,ELD79 / Libya zone 5,+proj=tmerc +lat_0=0 +lon_0=9 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2069,ELD79 / Libya zone 6,+proj=tmerc +lat_0=0 +lon_0=11 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2070,ELD79 / Libya zone 7,+proj=tmerc +lat_0=0 +lon_0=13 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2071,ELD79 / Libya zone 8,+proj=tmerc +lat_0=0 +lon_0=15 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2072,ELD79 / Libya zone 9,+proj=tmerc +lat_0=0 +lon_0=17 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2073,ELD79 / Libya zone 10,+proj=tmerc +lat_0=0 +lon_0=19 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2074,ELD79 / Libya zone 11,+proj=tmerc +lat_0=0 +lon_0=21 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2075,ELD79 / Libya zone 12,+proj=tmerc +lat_0=0 +lon_0=23 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2076,ELD79 / Libya zone 13,+proj=tmerc +lat_0=0 +lon_0=25 +k=0.9999 +x_0=200000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2077,ELD79 / UTM zone 32N,+proj=utm +zone=32 +ellps=intl +units=m +no_defs +type=crs
EPSG,2078,ELD79 / UTM zone 33N,+proj=utm +zone=33 +ellps=intl +units=m +no_defs +type=crs
EPSG,2079,ELD79 / UTM zone 34N,+proj=utm +zone=34 +ellps=intl +units=m +no_defs +type=crs
EPSG,2080,ELD79 / UTM zone 35N,+proj=utm +zone=35 +ellps=intl +units=m +no_defs +type=crs
EPSG,2081,Chos Malal 1914 / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2082,Pampa del Castillo / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2083,Hito XVIII 1963 / Argentina 2,+proj=tmerc +lat_0=-90 +lon_0=-69 +k=1 +x_0=2500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2084,Hito XVIII 1963 / UTM zone 19S,+proj=utm +zone=19 +south +ellps=intl +units=m +no_defs +type=crs
EPSG,2087,ELD79 / TM 12 NE,+proj=tmerc +lat_0=0 +lon_0=12 +k=0.9996 +x_0=500000 +y_0=0 +ellps=intl +units=m +no_defs +type=crs
EPSG,2088,Carthage / TM 11 NE,+proj=tmerc +lat_0=0 +lon_0=11 +k=0.9996 +x_0=500000 +y_0=0 +ellps=clrk80ign +units=m +no_defs +type=crs
EPSG,2089,Yemen NGN96 / UTM zone 38N,+proj=utm +zone=38 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2090,Yemen NGN96 / UTM zone 39N,+proj=utm +zone=39 +ellps=WGS84 +units=m +no_defs +type=crs
EPSG,2093,Hanoi 1972 / GK 106 NE,+proj=tmerc +lat_0=0 +lon_0=106 +k=1 +x_0=500000 +y_0=0 +ellps=krass +units=m +no_defs +type=crs
EPSG,2094,WGS 72BE / TM 106 NE,+proj=tmerc +lat_0=0 +lon_0=106 +k=0.9996 +x_0=500000 +y_0=0 +ellps=WGS72 +units=m +no_defs +type=crs
EPSG,2095,Bissau / UTM zone 28N,+proj=utm +zone=28 +ellps=intl +units=m +no_defs +type=crs
EPSG,2096,Korean 1985 / East Belt,+proj=tmerc +lat_0=38 +lon_0=129 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs
EPSG,2097,Korean 1985 / Central Belt,+proj=tmerc +lat_0=38 +lon_0=127 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs
EPSG,2098,Korean 1985 / West Belt,+proj=tmerc +lat_0=38 +lon_0=125 +k=1 +x_0=200000 +y_0=500000 +ellps=bessel +units=m +no_defs +type=crs
EPSG,2099,Qatar 1948 / Qatar Grid,+proj=cass +lat_0=25.3823611111111 +lon_0=50.7613888888889 +x_0=100000 +y_0=100000 +ellps=helmert +units=m +no_defs +type=crs
EPSG,2100,GGRS87 / Greek Grid,+proj=tmerc +lat_0=0 +lon_0=24 +k=0.9996 +x_0=500000 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs
